,ID,Description,GeneRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0043062,GO:0043062,extracellular structure organization,145/812,1.34E-23,6.43E-21,4.43E-21,CFLAR/ITGAL/CD44/TLL1/LAMC3/COL23A1/LAMA3/COL11A1/TNFRSF1A/FSCN1/ITGA8/FAP/COL5A3/ITGAE/ADAMTS2/MMP2/NID2/LAMB1/ITGA6/COL9A3/TLL2/MADCAM1/MMP9/FERMT1/LAMA1/SMPD3/CRISPLD2/FOXF1/ICAM4/HAS1/COMP/AEBP1/KAZALD1/COL1A1/VWF/COL9A1/NR2E1/SMOC2/LAMA4/ITGA4/TNR/NID1/RECK/LRP1/MATN4/SOX9/TCF15/KDR/NCAN/PXDN/COL5A1/ITGB4/BCAN/MYH11/PDGFRA/COL4A2/FOXF2/ITGA11/ADAM10/CYP1B1/ADAMTS14/FBN2/COL2A1/ITGB7/FBLN5/COL6A2/ADAMTSL4/ITGA9/SFRP2/HAPLN1/CSGALNACT1/NOTCH1/ADAM12/GAS2/ITGB1/ADAM8/PLOD2/WNT3A/JAM2/ADAMTS5/MMP16/ADAMTS3/MYO1E/CREB3L1/ACAN/F11R/ITGB2/PDPN/VCAM1/CAPN2/FBLN2/APBB2/EGFLAM/HTRA1/FBN1/GREM1/SMAD3/MMP26/KLK4/TNXB/NPNT/CTRB1/CTRB2/ITGAM/COL24A1/BSG/HPSE2/ADAMTS20/SH3PXD2B/FOXC2/ANXA2/COL18A1/WT1/FLRT2/TMPRSS6/COL4A1/THSD4/COL14A1/AGRN/COL25A1/NF1/LAMB3/ELANE/ADAMTSL2/COL11A2/COL15A1/SERPINB5/ITGB3/ITGA3/COL17A1/ITGB8/SPINK5/LCP1/ITGAX/MMP3/ITGAD/ELF3/IHH/KLK7/TPSAB1/NDNF/MMP1/TNF/MMP12/MMP28,145
GO:0030198,GO:0030198,extracellular matrix organization,145/812,9.78E-24,5.55E-21,3.82E-21,CFLAR/ITGAL/CD44/TLL1/LAMC3/COL23A1/LAMA3/COL11A1/TNFRSF1A/FSCN1/ITGA8/FAP/COL5A3/ITGAE/ADAMTS2/MMP2/NID2/LAMB1/ITGA6/COL9A3/TLL2/MADCAM1/MMP9/FERMT1/LAMA1/SMPD3/CRISPLD2/FOXF1/ICAM4/HAS1/COMP/AEBP1/KAZALD1/COL1A1/VWF/COL9A1/NR2E1/SMOC2/LAMA4/ITGA4/TNR/NID1/RECK/LRP1/MATN4/SOX9/TCF15/KDR/NCAN/PXDN/COL5A1/ITGB4/BCAN/MYH11/PDGFRA/COL4A2/FOXF2/ITGA11/ADAM10/CYP1B1/ADAMTS14/FBN2/COL2A1/ITGB7/FBLN5/COL6A2/ADAMTSL4/ITGA9/SFRP2/HAPLN1/CSGALNACT1/NOTCH1/ADAM12/GAS2/ITGB1/ADAM8/PLOD2/WNT3A/JAM2/ADAMTS5/MMP16/ADAMTS3/MYO1E/CREB3L1/ACAN/F11R/ITGB2/PDPN/VCAM1/CAPN2/FBLN2/APBB2/EGFLAM/HTRA1/FBN1/GREM1/SMAD3/MMP26/KLK4/TNXB/NPNT/CTRB1/CTRB2/ITGAM/COL24A1/BSG/HPSE2/ADAMTS20/SH3PXD2B/FOXC2/ANXA2/COL18A1/WT1/FLRT2/TMPRSS6/COL4A1/THSD4/COL14A1/AGRN/COL25A1/NF1/LAMB3/ELANE/ADAMTSL2/COL11A2/COL15A1/SERPINB5/ITGB3/ITGA3/COL17A1/ITGB8/SPINK5/LCP1/ITGAX/MMP3/ITGAD/ELF3/IHH/KLK7/TPSAB1/NDNF/MMP1/TNF/MMP12/MMP28,145
GO:0048871,GO:0048871,multicellular organismal homeostasis,142/812,7.57E-11,4.73E-09,3.26E-09,CYP26B1/CD38/TFAP2B/MLXIPL/IL20RA/SLC11A1/WWTR1/PTGER3/CROCC/CLDN18/TP63/SIRT6/AKR1B1/NOX4/GNAS/SCD/NTSR1/CORO1A/ZNF423/CSK/HOMER2/PPP1R13L/NOVA2/MET/GRB10/PHOX2B/TCIRG1/PRR4/SCNN1A/GCNT2/TULP1/LAMA4/NPR3/EIF4G1/IL1A/PASK/LEPR/CNR1/G0S2/SOX9/IL1B/ADCY4/SLC27A1/KDM6B/AMPD3/EDNRB/RAC1/IRF4/ADCY3/SLC40A1/COL2A1/TLE3/IGF1R/ADCYAP1/TNFRSF11A/PRDM16/ILDR2/PTH2R/MUC4/PLAC8/PDGFC/EGFR/PRDM14/LCN2/NOTCH1/DRD2/IL18/FOXO1/ADAM8/ACSL1/BMP6/PRKCA/LRRK1/ADAMTS5/FLCN/PLCL2/ADCY8/GRHL3/NAPEPLD/ZG16B/ADCY9/ACOT11/NEUROD1/CARTPT/ADCY1/ANKRD11/LTBP3/SLN/CYTL1/KSR2/BCL2/ADCY5/CD34/IL20RB/LEP/NR1D2/SFN/CIDEA/FOXC2/IRX3/HOXC10/EHMT1/CSF1R/BTBD9/MUC6/HSF1/PRKAR1B/ADRB3/ESRRG/NF1/SRC/STK39/DLL1/EBF2/BGLAP/ACTN3/ITGB3/USH1C/PTGS2/SNX10/P2RX7/CST4/VSIG1/FA2H/NMU/CCR2/SASH3/ID1/CD36/ABCA12/TFF3/TFF2/TFF1/AZGP1/IHH/DCSTAMP/MUC13/ALOXE3/CYP4F12/CLDN4/DIO2/TNF,142
GO:0001667,GO:0001667,ameboidal-type cell migration,131/812,3.35E-09,1.41E-07,9.72E-08,PLXND1/SOX8/TAC1/TBXA2R/ISL1/MAP2K3/FLT4/BCAR1/FGF10/MAP4K4/SEMA3C/FGF4/FGFR1/FAP/PXN/ANGPT2/CARD10/LGMN/MMP9/ANGPT4/FERMT1/ARHGEF7/HAS1/MET/MEOX2/GATA3/FGF8/HDAC5/PHOX2B/CORO1C/NR2E1/CCR6/SMOC2/FGF1/FOXP1/ITGA4/NRP2/TWIST1/GIPC1/EFNB2/BMP4/SOX9/MACF1/KDR/STARD13/ACVR1B/EDNRB/CYP1B1/ITGB7/DNAJA4/CDH13/EPHA2/IQSEC1/PTPRG/SLIT2/GNA12/DOCK5/CRB2/NOTCH1/PAK1/ITGB1/VEGFC/PTPRR/ANGPT1/PRKCA/MIA3/ITGB2/FGF19/PITX2/HAND2/BMPER/SHH/SOX17/RET/AMOTL1/GREM1/GBX2/GDNF/ZEB2/ROBO1/NRTN/PRKCE/PLEKHG5/PTPRM/CLEC14A/FOXC2/EGR3/ALX1/SLC8A1/CCBE1/TBX1/SEMA4B/CIB1/SP1/SEMA4D/SEMA4A/EPHB4/NF1/S100A2/SRC/MIR135B/MIR129-2/SOX18/BMPR2/MIR200A/MIR200B/MIR10B/MIR150/MIR196A2/MIR196A1/EMP2/PDCD6/ITGB3/ITGA3/PRSS3/ANLN/PTGS2/CEACAM1/EPB41L4B/SEMA4G/HMOX1/OVOL2/ID1/APOE/RAB25/FGFBP1/MARVELD3/S100P/EFNA1/P2RY12/SCG2,131
GO:0045785,GO:0045785,positive regulation of cell adhesion,114/812,3.99E-08,1.16E-06,8.01E-07,RUNX3/CD44/PTPRU/CBFB/MAP4K4/GLI2/ITGA6/FERMT1/SMAD7/ARHGEF7/CORO1A/FOXF1/CSK/SFRP1/AGR2/GLI3/DOCK8/GATA3/ZMIZ1/ZBTB16/CD5/IL23A/GCNT2/SMOC2/ITGA4/IGFBP2/IL1RL2/NID1/EFNB2/IL1B/CCR7/KDR/PODXL/EPO/VAV3/VTCN1/HAVCR2/DYSF/RAC1/ZFHX3/CDH13/SFRP2/MYO10/DOCK5/PAK1/IL18/ANK3/ADAM8/THY1/ANGPT1/PRKCA/WNT3A/FLCN/CD1D/RUNX1/ITGB2/PDPN/VCAM1/KIF26B/FBLN2/EDIL3/EGFLAM/SHH/RET/SMAD3/CCDC88B/NPNT/PTAFR/PRKCE/AZU1/LEP/FOXC2/GRB2/EGR3/MYADM/EMILIN3/CIB1/NPY2R/PDCD1/VWC2/SRC/ELANE/S100A10/CARD11/ARL2/EMP2/LYN/ITGA3/APBB1IP/PTPRC/CEACAM6/EPB41L4B/LILRB1/RASAL3/EBI3/CCL2/ZAP70/CCR2/SASH3/NCKAP1L/FOXA2/FOXA1/LILRB2/CD36/IHH/P2RY12/RASGRP1/NDNF/CLECL1/BTLA/LILRB4/CD3E/AIF1/TNF,114
GO:1903532,GO:1903532,positive regulation of secretion by cell,111/812,2.68E-07,6.15E-06,4.24E-06,FGR/CD38/TAC1/CACNA1G/BAIAP3/NADK/SYT7/ISL1/SYT1/GAL/FGFR1/AACS/OPRK1/DNM1L/STX1B/CACNA1I/NTSR1/FERMT1/MAPK3/SMPD3/GCK/GATA3/PANX1/EXPH5/SYT10/IL1A/SPTBN1/SDC1/CD58/CNR1/TWIST1/LRP1/IL1B/UNC13A/TRPM4/ANO1/VPS4A/PTPN22/VTCN1/GRP/HAVCR2/DHX9/RAC1/CASP1/ADCYAP1/TNFRSF11A/SNCA/TSLP/EGFR/CRH/TCF7L2/DRD2/VEGFC/FRMD4A/ADAM8/BMP6/ADCY8/KCNB1/ITGB2/NKX6-1/UCN/CARTPT/CACNB2/RAB8B/AVPR1A/GALR1/GDNF/PTAFR/ITGAM/TRH/PRKCE/CDK5R2/C1QTNF4/CD34/LEP/LPL/SOX11/RPH3AL/CSF1R/CADM1/FOXL2/PLA2G6/NPY2R/HYAL3/CCK/IL1RAP/MYO18A/CACNA1H/SRC/NMB/RASL10B/PLA2G10/P2RX7/TLR8/KCNN4/CD33/STX1A/NMU/KMO/CD244/PDX1/NLRP12/F2RL1/CLEC4E/ADORA2B/KISS1/RASGRP1/AIF1/TNF/LILRA2/MMP12,111
GO:1990778,GO:1990778,protein localization to cell periphery,95/812,3.76E-08,1.12E-06,7.70E-07,ANK1/EPHA3/PKP2/TNFRSF1A/ACTN2/EPB41L3/TESC/SORBS1/STX1B/PALM/CSK/ANXA13/CLIP3/CACNG7/AGR2/LIN7A/SPTBN1/GHSR/RAMP3/LRP1/MACF1/DPP6/ARHGEF16/VPS4A/SNAP25/MAP7/KIF13A/ADAM10/STAC2/CACNG8/EPHA2/STAC/ANK2/EGFR/ITGB1/DLG2/ANK3/TNIK/WNT3A/GRIP1/KCNB1/F11R/SPTBN4/SQSTM1/GRIN2C/GRASP/CNST/PKDCC/NFASC/TTC7B/CACNB2/RAB8B/TSPAN5/VAMP5/CPLX1/CDH2/PRKCE/CLSTN1/MAL/BSG/HRAS/DPP10/GRIN1/ZDHHC22/GAK/MYADM/ANXA2/GPC6/PKP3/CIB1/KCNIP4/PTCH1/NHLRC1/SHISA6/S100A10/SMURF1/EMP2/SLC4A1/ITGA3/CACNG3/ANLN/ATP2C2/FYB1/MISP/KRT18/PLS1/CRB3/PRAM1/ATP1B1/ABCA12/AMN/RAB26/RAB3B/SAPCD2/TNF,95
GO:0015850,GO:0015850,organic hydroxy compound transport,76/812,2.52E-06,4.61E-05,3.17E-05,ABCB4/TAC1/SYT7/ABCC2/SYT1/GAL/OSBPL3/OPRK1/NCOA1/NOS1/SLC16A8/CHGA/NFKBIA/HRH3/CHRNA4/LIPG/SLC6A2/P2RX1/SYT10/POMC/SCP2/CNR1/SLC16A7/GHSR/LRP1/SYT5/LDLR/APOC1/VPS4A/SYT6/STRA6/EGF/OSBPL1A/SLC16A3/SLC6A3/SLC10A4/SNCA/SLC22A3/STAR/CRH/DRD2/BMP6/SLC16A1/KCNB1/UCN/CARTPT/SHH/SLC18A2/LIPC/GALR1/GDNF/CEL/LEP/HTR1A/MAPK15/ANXA2/NPY2R/PTCH1/RXRA/SYT3/SLC5A8/ITGB3/NPC1L1/SYT13/PLA2G10/CEACAM1/LILRB1/STX1A/APOE/CD36/ABCG8/ABCA12/SYT8/RAB3B/P2RY12/AKR1C4,76
GO:0035637,GO:0035637,multicellular organismal signaling,74/812,9.39E-11,5.58E-09,3.85E-09,CACNA1G/CACNA2D2/KCNQ1/KCNH2/PKP2/DMRT3/NOS1/FXYD3/SLC9A1/NRCAM/ITPR3/CACNA1I/MYH14/CACNG7/P2RX1/KCNA1/PDE4D/FGF12/TNR/TNNI3K/SLC8A2/GHSR/ITPR2/ATP1B2/KCNA5/CACNG6/TRPM4/MTNR1B/NTRK3/CACNG8/CORIN/ANK2/GLRA1/FXYD4/CACNA2D4/CACNA1C/ANK3/CACNA2D3/SPTBN4/NPPC/ATP1A1/NFASC/CLDN19/CARTPT/GRIK2/CACNB2/AVPR1A/STIM1/DRD5/KCNK3/CNTNAP2/KCNE1/GPR88/SLC8A1/NKX2-5/KCNJ12/KCNIP4/RYR1/CACNA1H/SCN8A/RYR2/RYR3/MIR1-1/FXYD7/CACNG3/SCN4A/MAG/ACE2/ATP1A4/KCNK1/ATP1B1/OTOA/SCN11A/GPR35,74
GO:0007160,GO:0007160,cell-matrix adhesion,71/812,1.69E-07,4.13E-06,2.84E-06,ITGAL/CD44/EPHA3/LIMCH1/MAP4K4/ACTN1/ACTN2/ITGA8/COL5A3/NID2/SLC9A1/ITGA6/SORBS1/MADCAM1/FERMT1/ARHGEF7/MSLN/SFRP1/CORO1C/ITGA4/NID1/HOXA7/LRP1/CCR7/MACF1/SGCE/KDR/HOXD3/ITGB4/RAC1/ITGA11/ITGB7/FBLN5/CDH13/MUC4/RASA1/ITGB1/ADAMTS12/THY1/TIAM1/ZYX/LYPD5/ITGB2/VCAM1/FREM1/VWA2/SMAD3/FAM107A/NPNT/ONECUT1/BCL2/CD34/EFNA5/CIB1/AJAP1/NF1/SRC/S100A10/ITGBL1/EMP2/ACTN3/ITGB3/ITGA3/COL17A1/CEACAM6/ONECUT2/CD36/PARVG/OTOA/CD3E/MMP12,71
